,original,translated
130,HEATER,HEATER
131,HEATING,HEATING
132,HOLDER,HOLDER
133,HOOVER,HOOVER
134,IDENTIFIED,IDENTIFIED
135,INSIDE,INSIDE
136,INSTALL,INSTALL
137,INSTALLED,INSTALLED
138,INTERMITTENT,INTERMITTENT
139,INTERMITTENTLY,INTERMITTENTLY
140,INTERNAL,INTERNAL
141,ISSUE,ISSUE
142,ISSUES,ISSUES
143,JAMMED,JAMMED
144,KEEPS,KEEPS
145,KETTLE,KETTLE
146,KEYBOARD,KEYBOARD
147,LAPTOP,LAPTOP
148,LEAKING,LEAKING
149,LEVER,LEVER
150,LIGHT,LIGHT
151,LIGHTS,LIGHTS
152,LIKELY,LIKELY
153,LINUX,LINUX
154,LONGER,LONGER
155,LOOSE,LOOSE
156,MACHINE,MACHINE
157,MAINS,MAINS
158,MAKER,MAKER
159,MAKES,MAKES
160,MAKING,MAKING
161,MANUFACTURER,MANUFACTURER
162,MECHANICAL,MECHANICAL
163,MECHANISM,MECHANISM
164,MEMORY,MEMORY
165,MIGHT,MIGHT
166,MISSING,MISSING
167,MIXER,MIXER
168,MOBILE,MOBILE
169,MONITOR,MONITOR
170,MOTHERBOARD,MOTHERBOARD
171,MOTOR,MOTOR
172,MOVING,MOVING
173,MUSIC,MUSIC
174,NEEDED,NEEDED
175,NEEDLE,NEEDLE
176,NEEDS,NEEDS
177,NOISE,NOISE
178,NOISY,NOISY
179,NOTHING,NOTHING
180,ON/OFF,ON/OFF
181,OPENED,OPENED
182,OPENING,OPENING
183,OPERATING,OPERATING
184,ORDER,ORDER
185,ORDERED,ORDERED
186,OTHER,OTHER
187,OUTPUT,OUTPUT
188,OVERHEATING,OVERHEATING
189,OWNER,OWNER
190,PANEL,PANEL
191,PAPER,PAPER
192,PARTS,PARTS
193,PHONE,PHONE
194,PIECE,PIECE
195,PLACE,PLACE
196,PLASTIC,PLASTIC
197,PLAYER,PLAYER
198,PLAYING,PLAYING
199,PLUGGED,PLUGGED
200,PORTABLE,PORTABLE
201,POSSIBLE,POSSIBLE
202,POSSIBLY,POSSIBLY
203,POWER,POWER
204,POWERING,POWERING
205,PRINT,PRINT
206,PRINTER,PRINTER
207,PROBABLY,PROBABLY
208,PROBLEM,PROBLEM
209,PROBLEMS,PROBLEMS
210,PROCESSOR,PROCESSOR
211,PROPERLY,PROPERLY
212,RADIO,RADIO
213,RECOMMENDED,RECOMMENDED
214,RECORD,RECORD
215,RECORDER,RECORDER
216,REMOTE,REMOTE
217,REMOVE,REMOVE
218,REMOVED,REMOVED
219,REPAIR,REPAIR
220,REPAIRABLE,REPAIRABLE
221,REPAIRED,REPAIRED
222,REPLACE,REPLACE
223,REPLACED,REPLACED
224,REPLACEMENT,REPLACEMENT
225,REPLACING,REPLACING
226,REQUIRED,REQUIRED
227,REQUIRES,REQUIRES
228,RESET,RESET
229,RESOLDERED,RESOLDERED
230,RETURN,RETURN
231,REWIRED,REWIRED
232,RIGHT,RIGHT
233,RUNNING,RUNNING
234,SAFETY,SAFETY
235,SCREEN,SCREEN
236,SCREW,SCREW
237,SCREWS,SCREWS
238,SEEMED,SEEMED
239,SEEMS,SEEMS
240,SEWING,SEWING
241,SHORT,SHORT
242,SHOWED,SHOWED
243,SMALL,SMALL
244,SMELL,SMELL
245,SNAPPED,SNAPPED
246,SOCKET,SOCKET
247,SOFTWARE,SOFTWARE
248,SOLDER,SOLDER
249,SOLDERED,SOLDERED
250,SOLDERING,SOLDERING
251,SOLUTION,SOLUTION
252,SOMETIMES,SOMETIMES
253,SOUND,SOUND
254,SOURCE,SOURCE
255,SPARE,SPARE
256,SPEAKER,SPEAKER
257,SPEAKERS,SPEAKERS
258,SPEED,SPEED
259,SPRING,SPRING
260,START,START
261,STARTING,STARTING
262,STEAM,STEAM
263,STEREO,STEREO
264,STILL,STILL
265,STOPPED,STOPPED
266,STOPS,STOPS
267,STRIPPED,STRIPPED
268,STUCK,STUCK
269,SUCTION,SUCTION
270,SUGGESTED,SUGGESTED
271,SUPPLY,SUPPLY
272,SUSPECT,SUSPECT
273,SWITCH,SWITCH
274,SWITCHED,SWITCHED
275,SWITCHES,SWITCHES
276,SWITCHING,SWITCHING
277,SYSTEM,SYSTEM
278,TABLE,TABLE
279,TABLET,TABLET
280,TAKEN,TAKEN
281,TESTED,TESTED
282,TESTING,TESTING
283,THERE,THERE
284,THERMAL,THERMAL
285,THREAD,THREAD
286,THROUGH,THROUGH
287,TIMER,TIMER
288,TOASTER,TOASTER
289,TOGETHER,TOGETHER
290,TOUCH,TOUCH
291,TRIED,TRIED
292,TURNED,TURNED
293,TURNING,TURNING
294,TURNS,TURNS
295,TURNTABLE,TURNTABLE
296,UNABLE,UNABLE
297,UNKNOWN,UNKNOWN
298,UPDATE,UPDATE
299,USING,USING
300,VACUUM,VACUUM
301,VIDEO,VIDEO
302,VOLTAGE,VOLTAGE
303,VOLUME,VOLUME
304,WARRANTY,WARRANTY
305,WATCH,WATCH
306,WATER,WATER
307,WEIGHT,WEIGHT
308,WHEEL,WHEEL
309,WHERE,WHERE
310,WHICH,WHICH
311,WHILE,WHILE
312,WINDOWS,WINDOWS
313,WIRES,WIRES
314,WIRING,WIRING
315,WITHOUT,WITHOUT
316,WORKED,WORKED
317,WORKING,WORKING
318,WORKS,WORKS
319,WOULD,WOULD
320,WOULDN,WOULDN
321,WRONG,WRONG
0,AAN/UIT,ON/OFF
1,AANSCHAFFEN,Sales
2,AANSLUITING,CONNECTION
3,AANZETTEN,Turn on
4,ADAPTER,ADAPTERS
5,ADVIES,ADVICE
6,AFGEBROKEN,ABORTED
7,ALLEEN,ALONE
8,ANDERE,OTHER
9,ANTENNE,ANTENNA
10,APPARAAT,DEVICE
11,BANDJE,Tape:
12,BATTERIJ,BATTERY
13,BATTERIJEN,BATTERIES
14,BEDRADING,WIRES
15,BEELD,IMAGE
16,BESCHADIGD,DAMAGED
17,BESTELD,Ordered
18,BESTELLEN,ORDER
19,BEVEILIGING,SECURITY
20,BLIJFT,stays
21,BOILER,BOILER
22,BRAND,FIRE
23,BRANDEN,FLAME CUTTING
24,BRANDT,Mr BRANDT
25,BREUK,break
26,BROKEN,Broken
27,CARTRIDGE,cartridge
28,CASSETTE,cassette
29,CONDENSATOR,CAPACITOR
30,CONNECTOR,connector
31,CONTACT,CONTACT INFO
32,CONTACTEN,CONTACTS
33,DAARNA,After that
34,DEFECT,BROKEN
35,DEFECTE,faulty
36,DEKSEL,COVER
37,DICHT,ALIGHT
38,DIMMER,Dimmer
39,DISPLAY,DISPLAY
40,DOORGEBRAND,BLOWN
41,DRAAD,wire
42,DRAADBREUK,break of conductor strands
43,DRAADJE,Thread
44,DRAAIEN,TURNING
45,DRAAIT,running
46,ELECTRONICA,Electronics
47,ELEKTRONICA,ELECTRONICS
48,ELEMENT,ELEMENT
49,ELKAAR,EACH OTHER.
50,ERUIT,ABOUT
51,FILTER,FILTER
52,FITTING,Piping and plumbing fittings
53,FUNCTIONEERT,WORKS
54,GEBROKEN,broken
55,GEBRUIK,USE
56,GEBRUIKEN,USE
57,GEBRUIKT,USE
58,GEEFT,SPECIFY
59,GEGEVEN,ITEM
60,GELUID,NOISE
61,GEMAAKT,created
62,GEREPAREERD,FIXED
63,GESMEERD,Lubricated
64,GESOLDEERD,SOLDERED
65,GEVALLEN,Falls
66,GEVONDEN,FOUND
67,GEZET,SET
68,HANGEN,SLOUCHING
69,HAPERT,HAPERT
70,HEEFT,DID.
71,HELEMAAL,Completely
72,KABEL,CABLE
73,KABELBREUK,Broken cable
74,KAPOT,BROKEN
75,KAPOTTE,BROKEN
76,KLANT,CUSTOMER
77,KLEPJE,flap
78,KNIPPEREN,BLINKING
79,KNIPPERT,Blinking
80,KNOPJE,Knob
81,KOFFIE,COFFEE
82,KOMEN,GRILL
83,KOOLBORSTELS,CARBON BRUSHES
84,KOPEN,BUY
85,KORTSLUITING,Short circuit
86,KRAAKT,CRACK
87,KRIJGT,Gets
88,KUNNEN,Can
89,LAADT,Loading:
90,LADER,LOADER
91,LAMPJE,LIGHT BULB
92,LAMPJES,Indicators
93,LANGZAAM,SLOWLY
94,LAPTOP,Laptop
95,LASER,National Service for the Implementation of Regulations
96,LATEN,intact
97,LAWAAI,NOISE
98,LEKKAGE,Leakage
99,LICHT,LIGHTING
100,LIJKT,SEEMS
101,LOOPT,ONGOING.
102,LOSSE,Losse
103,MAAKT,Enables
104,MACHINE,MACHINE
105,MAGNEET,MAGNET
106,MAKEN,CREATING
107,MECHANISCH,Mechanical
108,MOETEN,they must:
109,MOGELIJK,Possible
110,MOTOR,MOTOR
111,NAALD,Needle
112,NIETS,NOTHING
113,NIEUW,NEW
114,NIEUWE,NEW
115,NODIG,CARE.
116,ONBEKEND,UNKNOWN
117,ONDERDEEL,COMPONENT
118,ONDERDELEN,COMPONENTS
119,ONTBREEKT,Missing
120,ONTKALKEN,DESCALING
121,OORZAAK,CAUSE
122,OPLADER,CHARGER
123,OPNIEUW,TRY AGAIN
124,OUDERDOM,age
125,PAPIER,I. PAPER
126,PLAATSEN,PLACES
127,PLASTIC,PLASTIC
128,PRINT,PRINT
129,PRINTPLAAT,printed circuit board
130,PROBEREN,Try
131,PROBLEEM,PROBLEM
132,RADIO,RADIO
133,REAGEERT,Reacts
134,REPARATIE,REPAIRS
135,REPAREREN,REPAIR
136,SCHAKELAAR,SWITCH
137,SCHAKELT,Switches
138,SCHERM,DISPLAY
139,SCHOONGEMAAKT,cleaned
140,SCHOONMAKEN,CLEANING
141,SCREEN,SCREEN
142,SENSOR,SENSOR
143,SLAAT,SAVES
144,SLANG,SNAKE
145,SLECHT,BAD
146,SLECHTE,BAD
147,SLIJTAGE,Signs of wear
148,SLUIT,SCOUT
149,SLUITING,CLOSING
150,SNAAR,string
151,SNOER,cord
152,SNOERBREUK,Cable break
153,SOFTWARE,SOFTWARE
154,SPANNING,VOLTAGE
155,SPEELT,playing
156,SPELER,PLAYER
157,SPOEL,COIL
158,STAAT,STATE
159,STAND,Stand
160,START,START
161,STEEDS,always
162,STEKKER,PLUG
163,STOOM,STEAM
164,STOOMT,STEAM
165,STOPT,STOPS.
166,STORING,MALFUNCTION
167,STROOM,POWER
168,TANDWIEL,gear
169,TERUG,BACK
170,TERUGKOMEN,RETURNING
171,TESTEN,TESTING
172,THERMISCHE,Thermal
173,THERMOSTAAT,thermostat
174,THUIS,HOME
175,TIJDENS,DURING
176,TOESTEL,DEVICE
177,TRAFO,Transformer
178,UURWERK,Clock
179,VASTGELOPEN,exploratory conversation
180,VENTILATOR,FAN
181,VERBINDING,Connection
182,VERBOGEN,Bent
183,VERBRAND,Incinerated
184,VERDER,CONTINUE
185,VERKEERD,FAILED
186,VERKEERDE,WRONG
187,VERMOEDELIJK,probable
188,VERSLETEN,WORN OUT
189,VERSTOPT,Hidden away
190,VERVANGEN,PARTS REPLACED
191,VERVUILD,contaminated
192,VERVUILING,Fouling
193,VERWARMINGSELEMENT,heating element
194,VINDEN,If
195,VLOTTER,float
196,VOEDING,FOOD
197,VOLGENDE,NEXT
198,WAARSCHIJNLIJK,Probably
199,WARMT,HEAT
200,WATER,WATER
201,WEERSTAND,RESISTOR
202,WEINIG,LIMITED
203,WERKEN,WORKS
204,WERKT,normally
205,WERKTE,WORKED
206,WINDOWS,Windows
207,WORDEN,Become
208,WORDT,Will be
209,ZEKERING,FUSE
210,ZETTEN,place
211,ZITTEN,SITTING
212,ZUIGT,sucks
0,ALIMENTATION,POWER SUPPLY
1,ALLUME,ON
2,APPAREIL,DEVICE
3,APRÈS,AFTER
4,BATTERIE,BATTERY
5,BLOQUÉ,BLOCKED
6,BOUTON,BUTTON
7,BRUIT,NOISE
8,CABLE,CABLE
9,CARTE,CARD
10,CASSÉ,BROKEN
11,CASSÉE,BROKEN
12,CHANGER,CHANGING
13,CHAUFFE,HEAT
14,CIRCUIT,CIRCUIT
15,COMMANDER,TO ORDER
16,CONDENSATEUR,CAPACITOR
17,CONTACT,CONTACT
18,COULE,CAST
19,COURROIE,BELT
20,CÂBLE,CABLE
21,DIAGNOSTIC,DIAGNOSIS
22,DÉFAUT,DEFECT
23,DÉFECTUEUSE,Defective
24,DÉFECTUEUX,FULTY
25,DÉMARRE,- Launch
26,DÉMONTAGE,DISMANTLING
27,FICHE,E-TRAINING
28,FONCTIONNE,OPERATE
29,FUSIBLE,FUSE
30,IMPOSSIBLE,IMPOSSIBLE
31,INTERRUPTEUR,SWITCH
32,LECTEUR,READER
33,MACHINE,MACHINE
34,MAUVAIS,BAD
35,MOTEUR,POWER UNIT
36,NETTOYAGE,CLEANING
37,NIVEAU,LEVEL
38,PANNE,PANNE
39,PIÈCE,ROOM
40,PIÈCES,PARTS
41,POMPE,PUMP
42,PRISE,SOCKET
43,PROBLÈME,CONCERN
44,REMPLACEMENT,REPLACEMENT
45,REMPLACER,REPLACE
46,REMPLACÉ,SUPERSEDED
47,RÉPARATION,REPAIR
48,RÉPARÉ,REPAIRED
49,RÉSISTANCE,RESISTANCE
50,SOLUTION,SOLUTION
51,SOUDURE,WELDING
52,SÉCURITÉ,SECURITY
53,TOURNE,TURN
54,VAPEUR,STEAM
55,ÉCRAN,SCREEN
56,ÉLECTRIQUE,ELECTRIC
57,ÉLECTRONIQUE,ELECTRONICS
58,ÉTAIT,WAS
0,ABGEBROCHEN,ABORTED
1,ABGERISSEN,ripped off
2,AKKUS,BATTERIES
3,ALLERDINGS,Allerdings
4,ALLES,EVERYTHING
5,ANDEREN,THEM
6,ANGELÖTET,SOLDERED ON
7,ANGESCHLOSSEN,connected
8,ANTRIEBSRIEMEN,TRANSMISSION BELT
9,AUSGETAUSCHT,Swapped&#x0D;
10,BATTERIE,BATTERY
11,BATTERIEN,BATTERIES
12,BEREITS,WE ALREADY HAVE
13,BESITZER,OWNER'S
14,BESITZERIN,Owner:
15,BESORGEN,GET
16,BESORGT,CONCERNED
17,BESTELLT,GmbH
18,BESUCHER,VISITORS
19,BESUCHERIN,VISITOR
20,BETRIEB,OPERATION
21,BLEIBT,do we remain ?
22,BLENDER,All that glitters isn't gold
23,BLIEB,remained
24,BRACHTE,citizens.
25,BUCHSE,SOCKET
26,DABEI,"Thereby,"
27,DAHER,"ON THESE GROUNDS,"
28,DAMIT,"DAMIT,"
29,DANACH,AFTER
30,DEFEKT,DEFECTIVE
31,DEFEKTE,DEFECTS
32,DEFEKTEN,DEFECTIVE
33,DIESE,THIS
34,DIESEM,this
35,DIESER,this
36,DISPLAY,DISPLAY
37,DREHT,does not
38,DREHTE,TURNED
39,DURCH,THROUGH
40,DURCHGEBRANNT,Blown Save
41,EINEM,EINEM
42,EINEN,LIVE
43,EINER,a.
44,EINES,of a
45,EINFACH,SIMPLY
46,EINGEBAUT,installed
47,EINIGE,einige
48,EINMAL,ONCE
49,EINSCHALTEN,ON
50,ELEKTRONIK,ELECTRONICS
51,ERFOLG,SUCCESS
52,ERSATZ,SPARE
53,ERSATZTEIL,Replacement parts
54,ERSATZTEILE,SPARE PARTS
55,ERSETZT,REPLACED
56,ETWAS,ADD .
57,FANDEN,FOUND
58,FEHLER,ERROR
59,FEHLERSUCHE,TROUBLESHOOTING
60,FESTSTELLEN,Braking
61,FINDEN,FIND
62,FORTSETZUNG,CONTINUED
63,FUNKTION,FUNCTION
64,FUNKTIONIERT,WORKS
65,FUNKTIONIERTE,WORKED
66,GEBROCHEN,BROKEN
67,GEFUNDEN,FOUND
68,GEHÄUSE,HOUSING
69,GELÖST,Solved
70,GEREINIGT,Cleaned
71,GERÄT,DEVICE
72,GERÄTES,DEVICE
73,GETAUSCHT,.
74,GEWECHSELT,SWITCHED
75,GEÖFFNET,OPENED
76,GLEICH,LIKE
77,HABEN,CREDIT
78,HATTE,had&#x0D;
79,HATTEN,had
80,HAUSE,House
81,HEISS,high energy ion scattering spectrometry
82,HEIZT,Not he
83,HEIZUNG,HEATING
84,HERAUS,nozzle
85,IMMER,ALWAYS
86,INNEREN,Page 29.
87,INTERNET,WEBSITE
88,JEDOCH,However
89,KABEL,CABLE
90,KABELBRUCH,CABLE BREAK
91,KAPUTT,BLOWN
92,KASSETTE,CASSETTE
93,KEINE,NO
94,KEINEN,NONE
95,KOMMT,ARRIVED
96,KONDENSATOR,CAPACITOR
97,KONNTE,could&#x0D;
98,KONNTEN,could
99,KONTAKT,CONTACT
100,KONTAKTE,CONTACTS
101,KURZSCHLUSS,Short circuit
102,KÖNNEN,CAN
103,LAMPE,LAMP
104,LAUFWERK,RUNNING GEAR
105,LAUFZETTEL,Routing slip
106,LAUTSPRECHER,SPEAKER
107,LEIDER,LEIDER
108,LEITERPLATTE,PCB
109,LEUCHTET,Lights up
110,LIESS,LET
111,LÄSST,can
112,LÄUFT,RUNNING
113,MACHEN,DO
114,MASCHINE,MACHINE
115,MECHANIK,MECHANICS
116,MOTOR,MOTOR
117,MUSSTE,had to
118,MUSSTEN,mussten.
119,MÖGLICH,POSSIBLE
120,NACHDEM,Since
121,NETZTEIL,POWER
122,NEUEN,NEW
123,NEUER,NEW
124,NEUES,NEW
125,NICHT,NOT
126,NICHTS,NIL
127,NÄCHSTEN,NEXT
128,OFFENBAR,"Apparently,"
129,ORDNUNG,ORDER
130,PLATINE,MAIN PLATE
131,PLAYER,PLAYER
132,PROBLEM,PROBLEM
133,RADIO,RADIO
134,REINIGTEN,CLEANED
135,REINIGUNG,CLEANING
136,REPARATUR,RE PAIR
137,REPARATURNUMMER,Claim Number
138,REPARIEREN,REPAIR.
139,REPARIERT,REPAIRED
140,RICHTIG,RIGHT
141,RIEMEN,BELT
142,SCHALTER,SWITCH
143,SCHALTET,level
144,SCHNELL,FAST
145,SCHON,SCHÖN
146,SELBST,ONESELF
147,SICHERUNG,FUSE
148,SODASS,SO THAT
149,SOFTWARE,SOFTWARE
150,SOLLTE,WASTE
151,SPANNUNG,VOLTAGE
152,STARK,STRONG
153,STECKER,CONNECTOR
154,STELLTEN,posed.
155,STROM,ELECTRICITY
156,THERMOSICHERUNG,Thermal fuse
157,UNTER,UNDER
158,UNTERSUCHTEN,EXAMINED
159,URSACHE,CAUSE
160,VERMUTLICH,presumably
161,WACKELKONTAKT,Defective contact
162,WAREN,GOODS
163,WASSER,WATER
164,WEITER,CONTINUE
165,WERDEN,IMPLEMENTED
166,WIEDER,RESTORATION :
167,WINDOWS,windows
168,WOLLTE,NEVER
169,WURDE,HAS CONFERRED ON
170,WURDEN,were
171,ZEIGTE,.
172,ZERLEGEN,Disassembly
173,ZERLEGT,DECOMPOSED
174,ZERLEGTEN,DECOMPOSED
175,ZUSAMMEN,TOGETHER
176,ZUVERLÄSSIG,RELIABLE
177,ÖFFNEN,OPEN
