,original,translated
70,HEEFT,DID.
71,HELEMAAL,Completely
72,KABEL,CABLE
73,KABELBREUK,Broken cable
74,KAPOT,BROKEN
75,KAPOTTE,BROKEN
76,KLANT,CUSTOMER
77,KLEPJE,flap
78,KNIPPEREN,BLINKING
79,KNIPPERT,Blinking
80,KNOPJE,Knob
81,KOFFIE,COFFEE
82,KOMEN,GRILL
83,KOOLBORSTELS,CARBON BRUSHES
84,KOPEN,BUY
85,KORTSLUITING,Short circuit
86,KRAAKT,CRACK
87,KRIJGT,Gets
88,KUNNEN,Can
89,LAADT,Loading:
90,LADER,LOADER
91,LAMPJE,LIGHT BULB
92,LAMPJES,Indicators
93,LANGZAAM,SLOWLY
94,LAPTOP,Laptop
95,LASER,National Service for the Implementation of Regulations
96,LATEN,intact
97,LAWAAI,NOISE
98,LEKKAGE,Leakage
99,LICHT,LIGHTING
100,LIJKT,SEEMS
101,LOOPT,ONGOING.
102,LOSSE,Losse
103,MAAKT,Enables
104,MACHINE,MACHINE
105,MAGNEET,MAGNET
106,MAKEN,CREATING
107,MECHANISCH,Mechanical
108,MOETEN,they must:
109,MOGELIJK,Possible
110,MOTOR,MOTOR
111,NAALD,Needle
112,NIETS,NOTHING
113,NIEUW,NEW
114,NIEUWE,NEW
115,NODIG,CARE.
116,ONBEKEND,UNKNOWN
117,ONDERDEEL,COMPONENT
118,ONDERDELEN,COMPONENTS
119,ONTBREEKT,Missing
120,ONTKALKEN,DESCALING
121,OORZAAK,CAUSE
122,OPLADER,CHARGER
123,OPNIEUW,TRY AGAIN
124,OUDERDOM,age
125,PAPIER,I. PAPER
126,PLAATSEN,PLACES
127,PLASTIC,PLASTIC
128,PRINT,PRINT
129,PRINTPLAAT,printed circuit board
130,PROBEREN,Try
131,PROBLEEM,PROBLEM
132,RADIO,RADIO
133,REAGEERT,Reacts
134,REPARATIE,REPAIRS
135,REPAREREN,REPAIR
136,SCHAKELAAR,SWITCH
137,SCHAKELT,Switches
138,SCHERM,DISPLAY
139,SCHOONGEMAAKT,cleaned
140,SCHOONMAKEN,CLEANING
141,SCREEN,SCREEN
142,SENSOR,SENSOR
143,SLAAT,SAVES
144,SLANG,SNAKE
145,SLECHT,BAD
146,SLECHTE,BAD
147,SLIJTAGE,Signs of wear
148,SLUIT,SCOUT
149,SLUITING,CLOSING
150,SNAAR,string
151,SNOER,cord
152,SNOERBREUK,Cable break
153,SOFTWARE,SOFTWARE
154,SPANNING,VOLTAGE
155,SPEELT,playing
156,SPELER,PLAYER
157,SPOEL,COIL
158,STAAT,STATE
159,STAND,Stand
160,START,START
161,STEEDS,always
162,STEKKER,PLUG
163,STOOM,STEAM
164,STOOMT,STEAM
165,STOPT,STOPS.
166,STORING,MALFUNCTION
167,STROOM,POWER
168,TANDWIEL,gear
169,TERUG,BACK
170,TERUGKOMEN,RETURNING
171,TESTEN,TESTING
172,THERMISCHE,Thermal
173,THERMOSTAAT,thermostat
174,THUIS,HOME
175,TIJDENS,DURING
176,TOESTEL,DEVICE
177,TRAFO,Transformer
178,UURWERK,Clock
179,VASTGELOPEN,exploratory conversation
180,VENTILATOR,FAN
181,VERBINDING,Connection
182,VERBOGEN,Bent
183,VERBRAND,Incinerated
184,VERDER,CONTINUE
185,VERKEERD,FAILED
186,VERKEERDE,WRONG
187,VERMOEDELIJK,probable
188,VERSLETEN,WORN OUT
189,VERSTOPT,Hidden away
190,VERVANGEN,PARTS REPLACED
191,VERVUILD,contaminated
192,VERVUILING,Fouling
193,VERWARMINGSELEMENT,heating element
194,VINDEN,If
195,VLOTTER,float
196,VOEDING,FOOD
197,VOLGENDE,NEXT
198,WAARSCHIJNLIJK,Probably
199,WARMT,HEAT
200,WATER,WATER
201,WEERSTAND,RESISTOR
202,WEINIG,LIMITED
203,WERKEN,WORKS
204,WERKT,normally
205,WERKTE,WORKED
206,WINDOWS,Windows
207,WORDEN,Become
208,WORDT,Will be
209,ZEKERING,FUSE
210,ZETTEN,place
211,ZITTEN,SITTING
212,ZUIGT,sucks
